age,dec,inc,lat,lon
950,11.5,70.2,47.68,16.62
950,28.7,68.9,47.68,16.62
950,9.2,69.7,47.68,16.62
950,25,68,52.25,10.42
950,22.5,66.2,50.6,5.6
953,10.7,73.6,53.52,8.33
956,13.5,68.2,51.4,12.44
958,24.7,65.8,51.89,10.25
962,21.5,65.3,50,2.9
970,22.8,68.2,48,16.5
970,22.8,68.2,47.73,16.52
975,33.7,70.3,51.5,359.9
975,20.1,64.2,48.4,3
983,34.2,65.2,50.8,359.2
990,16.9,60.2,47.37,8.54
1000,19.5,66.3,52.4,0.7
1000,21.4,65.7,52.4,0.7
1000,25.6,65,52.4,0.7
1000,22.5,67.2,52.4,0.7
1000,26.7,66.3,52.4,0.7
1000,23.9,65.9,52.4,0.7
1000,22.1,70.4,53.3,359.3
1000,29.2,67,51.8,358.7
1000,24.7,67.4,52,1.1
1000,25,65.9,52.7,359.5
1000,9.7,70.7,50.83,6.9
1000,26.5,65.9,51.68,10.27
1000,20.7,65.9,47.7,17
1000,9.7,70.8,48.4,3
1000,14.5,69.4,48.4,3
1000,10.9,70.2,48.4,3
1000,19.6,68,50.6,3.1
1007,22.8,55.1,40.82,14.25
1023,13.6,63.8,51.94,10.42
1025,34.1,63.6,47.4,16.74
1025,32.3,67.1,47.4,16.74
1025,28.9,67.1,47.4,16.74
1025,24.8,66.5,47.4,16.74
1025,23,55,40.82,14.25
1025,22,65,40.82,14.25
1025,22,59,40.82,14.25
1025,20,62,40.82,14.25
1025,19,61,40.82,14.25
1025,0,54.2,50.9,358.6
1026,16.7,60.2,47.37,8.54
1030,2.9,69.5,47.13,16.66
1033,27,65.7,50.8,359.2
1033,20,67.4,50.8,359.2
1033,28.9,64.4,50.8,359.2
1036,10.5,64.8,40.82,14.25
1040,17.2,63.1,49.8,0.4
1042,40.1,65.7,53.08,8.81
1050,18.8,63.2,47.4,16.68
1050,17.5,64.7,47.4,16.68
1050,18.9,69.4,47.58,16.86
1050,18,62.6,47.58,16.86
1050,21,68.5,47.58,16.86
1050,19,75.8,47.68,16.62
1050,31.1,66.1,47.68,16.62
1050,18.2,70.4,48.88,9.12
1050,11.3,67.4,53.45,9.52
1050,23.8,62,50.4,5
1050,15,62.5,50.4,5
1050,21.8,61.8,50.5,5.1
1050,21.2,62.9,50.5,5.1
1050,19.8,63.5,50.5,5.1
1050,24.8,58.5,51.2,359.8
1050,29.4,70.1,52.6,1.3
1050,21.3,63.8,53.7,359.6
1050,16.2,63.2,47.37,8.54
1050,18,66.2,52.14,10.95
1050,15.7,59.3,47,1.6
1065,10.5,64.8,40.82,14.25
1065,6.9,63.8,40.82,14.25
1065,23,54.2,40.82,14.25
1075,17.1,70.5,51.86,10.25
1075,9.9,65.2,52.2,359.1
1075,2,64.4,51.4,359.7
1075,22.1,65.6,53.3,359.2
1079,16.4,66,52.14,10.95
1081,29.2,63.3,48.62,9.03
1084,16.9,55.4,47.37,8.54
1087,15.4,59.3,48.56,9.06
1090,10.5,66.5,50.83,6.9
1090,10.7,64.7,50.83,6.9
1090,11,64.3,47.37,8.54
1100,16,50.2,43,2.3
1100,18.1,54.6,43.9,0.7
1100,21.5,52.7,43.9,0.7
1100,22.1,57.2,43.9,0.7
1100,16.6,68,53.3,359.3
1105,10.3,63.6,52.14,12.6
1112,16.8,64,51.51,359.82
1115,15.2,71,51.1,358.7
1115,7.2,53.5,51.1,358.7
1115,19,60.9,51.7,358.8
1115,3.6,50.6,41.5,1.5
1116,9.6,45.7,41.5,1.5
1125,22.6,66.1,47.23,16.63
1125,12.6,63.8,52.8,0.5
1125,15,64.7,50.66,4.68
1125,13.4,65.6,50.66,4.68
1125,15.7,64.9,50.66,4.68
1135,14.3,60.2,47.83,12.4
1139,11.3,61.2,40.82,14.25
1145,21.7,61.6,52.2,359.7
1150,17.8,59.4,51.3,358.4
1150,5.4,59.9,51.9,0.3
1150,13.1,61.5,51.5,359.9
1150,19,44.2,51.5,359.9
1150,22.5,62.3,51.5,359.9
1150,7.1,57.4,51.5,359.9
1150,0,57.4,51.5,359.9
1150,14.2,62,51.5,359.9
1150,13.9,29.7,51.2,357.4
1150,16.1,64.5,54.9,358.2
1150,16,64.4,54.9,358.2
1150,16.2,64.7,54.9,358.2
1150,4,59.5,54.6,358.75
1150,5.1,57,54.6,358.75
1150,9,60.4,54.6,358.75
1150,359.3,59.1,54.6,358.75
1150,358,58,54.6,358.75
1150,1.4,61.1,54.6,358.75
1150,18.9,61.9,54.9,358.5
1150,15.7,58.5,43.4,6.2
1150,11.2,51.2,43.7,4.4
1150,17.5,59,44.1,4.5
1150,16.8,66.3,51.65,359.4
1150,11.3,61.2,47.83,12.4
1150,15.7,60.9,50.6,3.3
1150,10.1,63.6,51,4.1
1150,15.9,61,49.1,2.5
1159,9,45.2,41.5,1.5
1160,11.4,63.6,50.9,358.6
1160,12.9,66.9,52.7985,357.8541
1162,10.7,46.4,41.5,1.5
1163,18.5,61.8,52.3,13.27
1165,13.7,63.5,50.83,6.9
1165,19.1,55.5,45.13,10.37
1170,15.4,61.3,49.3,359.1
1175,20.5,58.5,43.9,5.3
1175,12.2,62.7,47.63,16.74
1175,19.7,58.7,47.63,16.74
1175,18,58.8,47.63,16.74
1175,16.1,61.8,50.8,0.3
1175,14.9,60,50.7,0.2
1175,13,61.7,52.7985,357.8541
1180,0.1,61.6,53.8,359.6
1185,356.1,55.6,50.6,5.6
1190,13.9,62.8,51.68,9.52
1190,8.2,59.9,49.6,0.5
1195,12.9,59.5,50.9,358.6
1195,22,56,45.13,10.37
1200,352.3,71.1,47.5,17
1200,9.7,61.3,49.3,9.5
1200,15.8,55.1,47.68,16.62
1200,10,61.5,51.5,359.3
1200,10.9,50.9,52.3,359.7
1200,10.3,63.6,51.5,359.9
1200,13.2,60.6,53.8,359.6
1200,13.5,61.5,54,358.9
1200,11.7,57.7,51.2,359.2
1200,347.8,46.7,54.9,358.2
1212,20.8,58.8,53.05,7.33
1215,13.5,61.3,52.7,359.5
1215,12,57.3,52,359.3
1215,9.4,60.6,52.14,10.95
1220,13,61.7,52.7985,357.8541
1225,15.8,62.4,54.9,358.2
1225,10.9,66.9,52.27,10.52
1225,18.2,64.2,43.2,1.1
1225,15.1,53.3,44.1,4.5
1225,19.6,58.9,44.1,4.5
1225,14.7,59.6,49.3,9.5
1225,11.2,57.8,49.1,2.5
1230,12.3,59.9,51.54,9.64
1230,7.8,60.3,51.54,9.64
1230,6,61.2,51.54,9.64
1230,2.1,63.3,52.14,10.95
1244,8.5,52.9,51.1,358.2
1246,7.8,60,49.1,5
1250,11.4,65.9,52.02,8.53
1250,3.2,62.7,52.14,10.95
1250,355,58,43.1,2.9
1250,13.6,56.5,45.8,3.4
1250,21.4,63.3,49.2,359.6
1250,11.5,55.1,47.9,1.9
1250,15.5,55.9,48,3.3
1250,21.7,61.1,50.4,3.1
1250,14.6,63.1,51.2,357.4
1250,81.8,67.5,51.2,357.4
1250,9.6,61.7,54.9,358.2
1250,11.5,62,54.9,358.2
1250,5.9,63.3,54.9,358.2
1250,10.2,67.6,54.9,357.5
1250,10.5,66.1,54.9,357.5
1250,14.5,63.6,55.1,358.4
1250,358.2,64.5,51.37,359.33
1250,341.1,62.5,51.37,359.33
1250,9.7,68.4,55.55,358.37
1250,11.4,63.6,47.93,10.18
1250,357.6,65.8,51.51,7.46
1250,12.2,61.1,50.4,5
1250,5.8,65.2,51.1,0.1
1250,0.6,53,51.3,359.3
1250,12.4,54,51.6,359.5
1250,353.5,70.3,52.43,358.36
1250,346.2,72.3,52.43,358.36
1250,349.7,69.8,52.7,0.7
1250,353.3,70.4,52.7,0.7
1250,345.8,72.3,52.7,0.7
1250,20.4,71.7,53.2,359.4
1250,6.3,71.1,53.2,359.4
1250,37.3,76.3,53.2,359.4
1250,12.6,57.3,53.7,358.7
1250,13.7,63.1,53.8,359.6
1250,18.6,58.4,53.8,359.6
1250,355.8,56.4,53.8,359.6
1250,11.6,60.7,54,358.9
1250,356.2,56.8,54,358.9
1250,359.6,57.4,54,358.9
1250,340.3,62.6,54,358.9
1250,358.3,64.1,54,358.9
1250,12.3,66.9,54,358.9
1250,354.2,67.6,54,358.9
1250,352.2,54,54,358.9
1250,358.6,65.2,54,358.9
1250,350.6,43.4,54,358.9
1250,11.7,65.1,54,358.9
1250,17.6,61.9,54,358.9
1250,6.2,57.5,55,358.4
1253,17,63,51.74,9.81
1255,12.3,57,50.9,358.6
1262,10.7,58.9,49.3,9.5
1262,10.7,57.8,48.9,2.4
1265,358.6,69.1,51.97,10.25
1265,20.4,59.9,51.1,358.7
1270,11.8,55.6,50.4,1.7
1275,11.1,64.5,52.36,10.26
1275,6.9,53.7,43.2,5.9
1275,8.6,60.1,54.9,358.2
1275,10.8,60.2,54.9,358.2
1275,8.8,68.1,55.6,12.2
1276,9.2,62.2,52.43,358.36
1276,1.1,56.9,52.43,358.36
1276,3.8,57.5,52.43,358.36
1280,8.8,66.7,57.9,12
1287,11.5,56.9,48.9,2.3
1288,10.4,58.6,51.2,3.2
1288,5.7,57.5,51.2,3.2
1290,2,59.5,53.8,359.6
1297,3.8,57.5,51.17,358.32
1298,359,57.6,51.2,0
1298,8.7,62.1,51.17,358.32
1298,9.1,62.1,51.17,358.32
1298,1.1,56.9,51.17,358.32
1300,0.3,75.2,54.9,358.2
1300,2.1,60.8,51.51,359.93
1300,11.5,64.6,52.93,358.37
1300,11.6,65,52.94,358.36
1300,358,65.3,51.37,359.33
1300,340.6,63.3,51.37,359.33
1300,9.1,66.1,55.55,358.37
1300,6.9,52.8,43.72,10.4
1300,10.5,52.3,50.8,359.4
1300,1.2,60.3,54.1,358.4
1300,3.2,58.3,54.1,358.4
1300,2.5,55.1,53.1,0.1
1300,0.1,52.4,53.1,0.1
1300,4.5,60.2,54,358.9
1300,20,62.3,40.82,14.25
1300,7.7,61.8,53.35,6.77
1300,3.2,58.5,47.93,10.18
1300,16.7,65.1,53.87,10.81
1300,13.7,59.8,50.5,4.2
1300,7,58,50.8,3.6
1300,4.5,56.7,50.8,3.6
1300,359.1,55.3,50.8,3.6
1300,0.6,57.9,50.8,3.6
1300,15.4,65.6,50.9,3.6
1300,13.3,64.2,50.9,3.6
1300,4.6,49.2,43.3,5.4
1300,10.6,54.2,43.8,5.3
1300,13.8,67.4,52.42,12.55
1300,11.3,56.7,49,2.4
1300,6.3,62.2,50.8,7.2
1300,4.6,49.2,43.3,5.4
1301,9,47.7,40.72,13.9
1305,12.1,50.9,44.3,4.8
1310,4.8,58.2,52.1,1.2
1312,10.7,56.6,54.1,358.4
1312,8.9,60.3,54.1,358.4
1319,2.8,59,51.74,9.79
1320,351.7,61.8,52.7985,357.8541
1325,357,53.7,51.1,359.4
1325,359.6,58.9,51.8,358.9
1325,1.2,55.8,51.8,358.9
1325,359.3,58,53,0
1325,3,56.9,53.7,359
1325,14.6,60.9,51.2,359.4
1325,13.7,56.9,51.3,359.8
1325,6,55.8,51.9,359.3
1325,0.8,61.1,53.8,359.1
1325,8.3,66.6,55.6,12.2
1325,8.8,54.6,48.5,1.5
1325,3.1,66.6,52.3,13.27
1325,5,60.7,50.5,4.9
1331,15.2,65.4,53.87,10.81
1333,6.7,61,49.01,12.07
1337,6.8,61,50.9,358.6
1338,353,60.2,51.8,358.7
1340,11.2,55,49.2,359.6
1345,7.5,64.9,52.27,10.52
1350,353.8,54,51.4,359.6
1350,355.7,55.3,54.9,358.5
1350,13.6,59.3,53.84,359.57
1350,12.6,49.1,45.8,3.4
1350,3.6,56.6,51.9,0.3
1350,2.3,56.3,51.9,0.3
1350,345.6,57.4,51.4,358.7
1350,354.1,53.4,53.8,359.6
1350,10,50,43.2,1.2
1350,3.3,58.2,50.6,5.3
1354,3.9,64.1,52.14,10.95
1360,5.3,56.4,50.27,4.89
1362,3.8,55,48.6,3.5
1365,8.3,58.7,51.6,9.97
1365,0.8,62.3,51.99,9.73
1365,4.9,60.2,52.12,10.29
1370,1.2,54.2,49.3,359.6
1373,5.9,62.6,52.14,10.95
1375,5.1,55.9,49.4,2
1375,2,55.3,43.5,5.9
1375,1.3,55.5,44.8,359.5
1375,6.4,62.3,51.68,9.52
1375,4.2,61.5,47.519,14.826
1380,3,58.5,48.8,0
1380,358.3,52,54,358.9
1380,5.1,64.4,52.42,12.55
1386,6.1,70.3,52.5,12.02
1386,3.5,51,48.9,2.3
1391,9.9,59.4,50.77,10.25
1392,9.7,63.5,53.87,10.81
1400,350,69.5,47.23,16.63
1400,6.3,53.4,47.44,10.19
1400,8.3,52.7,47.44,10.19
1400,11.6,59,48.73,9.3
1400,0.6,54.5,49.8,5.3
1400,7.5,66.5,55.22,9.64
1400,2.3,59.6,50.27,4.89
1400,3.6,61.9,54.9,358.5
1400,9.2,63.7,51.1,358.7
1401,3.4,64.5,53.87,10.81
1401,4.7,64.3,53.87,10.81
1410,0.5,60.8,47.23,16.63
1410,347.4,70,47.23,16.63
1412,357.9,58.3,51.4,358.7
1412,4.2,55,51.4,358.7
1420,4.9,60.8,51.7,357.3
1420,5.5,58.4,51.7,357.3
1420,3.2,56.3,52,0.2
1420,356.3,63.3,47.23,16.63
1420,346.7,63.9,47.23,16.63
1425,3,59,51.75,5.32
1425,4.3,65.2,53.87,10.81
1425,9.5,63.1,53.87,10.81
1425,12.8,74.5,55.6,12.2
1425,3.4,56.1,51.5,359.5
1425,3,54,51.5,359.5
1430,351.9,62.8,47.23,16.63
1435,1.8,65.6,48.415,16.841
1435,14.9,73.8,48.415,16.841
1435,357.8,56.1,53.7,359
1450,9.1,64.2,48.58,9.04
1450,2.6,61.2,48.58,9.04
1450,353,60.9,53.87,10.81
1450,5.4,61,53.87,10.81
1450,2.9,63.6,52.14,10.95
1450,5.6,61.1,48,2.3
1450,6.9,58.1,49.1,359.4
1450,0.7,56.8,53.6,358.5
1450,1.6,62.6,53.6,358.5
1450,3.4,53.8,53.6,358.5
1450,7.1,65.6,54,359.9
1450,7.1,65.6,54,358.9
1450,11.6,37.7,51.2,357.4
1450,16.5,66.9,52.63,1.29
1450,340,60,52.99,359.6
1462,1.4,60.6,51.58,4.78
1475,4.4,57.2,48.9,2.3
1475,5.8,58.6,51.5,359.5
1475,5.7,56.7,51.5,359.5
1475,8.3,61.7,51.5,359.5
1475,11.3,64,49.2,2.6
1485,11.1,68.5,48.9,2.3
1489,7.2,66.5,53.87,10.81
1490,5.7,60.6,53.7,359
1490,7.1,60.7,53.7,359
1500,8,60.6,54,358.5
1500,11.6,64.6,53.1,0.1
1500,9.9,62.9,53.5,358.8
1500,359,62.4,41.9,12.45
1500,12.8,66.6,56.1,12.07
1500,13.3,56.2,49,7.9
1510,7.8,63.4,51.4,359.6
1512,10,57.9,44.8,359.5
1520,10.7,63.5,52.4,359.9
1525,6,63.2,51.4,358.7
1525,8.6,59.7,51.4,358.7
1525,4.8,72,50.4,4.5
1528,11.6,66.9,53.87,10.81
1528,5,68.1,53.87,10.81
1529,8.6,69.2,53.87,10.81
1530,2.3,64.6,51.82,358.94
1535,14,63.8,51.1,0.1
1537,10.1,64.9,50.4,1.8
1537,4,65.7,53.7,358.5
1540,7.8,59,45.72,8.85
1540,7.8,67.8,52.27,10.52
1543,0.7,72.7,51.4,359.7
1545,11.7,67.6,50.1,4.6
1550,9.4,68.7,53.87,10.81
1550,356.2,66.3,53.87,10.81
1550,4.6,65.4,53.87,10.81
1550,356.2,71.2,53.5,358.5
1550,1.4,64.1,53.5,358.5
1550,25.4,58.6,51.1,0.1
1550,351.4,54.5,51.5,359.9
1550,12.3,56.6,51.4,0
1550,335.2,63.7,51.2,357.4
1550,313.1,69.9,51.2,357.4
1550,11.4,66.6,52.77,358.01
1550,353.5,70.5,43.1,2.9
1550,7.5,67.7,49,2.4
1550,7,65.7,49.5,2
1550,359.6,57.8,49.5,2
1552,14.7,68.2,53.87,10.81
1564,4.3,65.4,52.14,10.95
1567,354,66.6,51.3,359.3
1568,8.7,70.4,48.9,2.3
1570,9,60.5,43.1,3.1
1570,2.2,65.4,43.3,3.1
1575,9.7,65.8,48.9,2.3
1575,15,66.1,52.8,358.1
1575,12,66.5,52.8,358.1
1578,6.7,60.4,47.6,1.3
1578,14.4,69.4,53.87,10.81
1580,7.5,68.7,49.8,4.2
1588,12.3,72.4,51.14,4.26
1595,4.1,69.8,51.86,10.31
1595,11,74.6,55,9.38
1600,351.8,63.2,51.97,10.25
1600,20.8,65.6,51.97,10.25
1600,5.5,59.8,50.8,7.2
1600,341.6,69,50.4,4.5
1600,17.9,73.8,53.7,358.5
1600,9.7,69.7,51.9,357.2
1606,12.8,71.1,53.87,10.81
1607,10.8,69.7,51.2,357.8
1612,0.8,67.4,41.9,12.5
1613,15,69.9,53.87,10.81
1629,8.4,70.1,53.87,10.81
1631,13.4,63.8,40.82,14.25
1631,10.9,62.2,40.82,14.25
1631,11.5,61.6,40.78,14.4
1631,15.9,64.6,40.78,14.4
1631,7.4,66.7,40.78,14.4
1631,13.8,65.1,40.78,14.4
1631,13.3,61.7,40.82,14.25
1631,13.7,64.1,40.82,14.25
1631,14.9,64.7,40.82,14.42
1640,352.2,69.2,52.27,10.52
1644,2,70.5,51.5,359.8
1650,13.8,57.3,54.9,358.5
1650,5.4,60.8,48.9,2.3
1650,8.7,70.6,52.1,359.1
1650,21.2,79.2,50.9,357.1
1650,340.8,76.7,54.9,358.2
1650,346,62,53.87,10.81
1650,358.7,64.1,53.87,10.81
1658,5,71.7,51.58,4.78
1664,359,73.9,53.7,358.5
1665,352.9,76,53.87,10.81
1665,355.4,76.8,53.87,10.81
1665,354,76,53.87,10.81
1665,359,74.9,53.87,10.81
1665,15.9,70.5,53.87,10.81
1665,357.5,76.5,53.87,10.81
1665,13.2,72.4,53.87,10.81
1665,356.1,73.9,53.87,10.81
1665,343.6,73.7,53.87,10.81
1665,13.4,71.5,53.87,10.81
1666,357.3,72,49.7,3.9
1675,348.8,68.5,44,4.4
1697,11.5,63.5,40.82,14.42
1697,18.4,63.7,40.82,14.43
1698,18.4,63.7,40.82,14.25
1700,341.7,73.5,50.9,357.1
1700,355.3,69.5,51.2,359.4
1700,348.4,67.1,43.2,5.6
1701,348.4,64.1,40.82,14.25
1710,352.6,74.4,51.07,358.75
1737,354.8,59.1,40.82,14.43
1737,343.8,59.6,40.82,14.25
1740,359,65.2,45.1,7.1
1750,322.2,65.8,48.9,2.3
1754,345.4,64,40.82,14.25
1754,347.4,62.9,40.82,14.42
1754,346,65.1,40.82,14.43
1760,347.2,61.8,40.82,14.25
1760,345,62.7,40.82,14.25
1760,343.5,65.7,40.82,14.43
1760,348.1,61.2,40.82,14.25
1767,344.1,56.9,40.82,14.25
1767,343.7,57.6,40.82,14.43
1775,342.2,71.7,50.3,1.9
1790,339,66,43.1,2.9
1794,345.2,61.6,40.82,14.42
1794,346.6,59.8,40.82,14.43
1794,346.2,64,47.35,7.35
1795,331,73.7,55.46,8.5
1804,344.3,53.1,40.82,14.43
1805,356.2,64.8,51.88,10.24
1806,336.6,56.6,40.82,14.25
1815,347.3,58.7,41.9,12.5
1822,351,55.1,40.82,14.43
1826,346.7,67,45.2,7.1
1830,343.8,62.9,43.4,6.3
1834,339.8,58.6,40.82,14.25
1834,347.2,54.9,40.82,14.43
1834,343.4,54.4,40.82,14.42
1839,348.1,57.5,40.82,14.25
1839,343.4,55.8,40.82,14.42
1847,342.9,61.9,40.82,14.43
1850,344.8,49.6,40.82,14.43
1850,349.3,62.7,47.68,16.62
1855,354.3,53.4,40.82,14.25
1858,347.4,53.3,40.82,14.25
1858,347.6,52.9,40.82,14.25
1858,349.8,54.3,40.82,14.43
1861,348.2,57,40.82,14.42
1867,347.7,57.3,40.82,14.43
1871,349.2,56.4,40.82,14.43
1872,355.8,54,40.82,14.42
1886,343.3,57.3,40.82,14.43
1891,354.1,56.1,40.82,14.43
1895,355.5,54.8,40.82,14.43
1897,351.4,58.5,40.82,14.25
1906,356.4,51.9,40.82,14.25
1906,353.6,53.1,40.82,14.43
1906,356.5,55.6,40.82,14.42
1906,350.5,61.2,40.82,14.25
1929,356,56.1,40.82,14.25
1929,357.2,52.4,40.82,14.43
1929,357.4,55.9,40.82,14.42
1944,356.6,52.9,40.82,14.42
1944,344,53.3,40.82,14.25
1944,359.7,54.3,40.82,14.43
1954,355.3,61.6,45.1,7.7
1961,354.3,68,53,0
1962,350.1,67.3,53,0
1987,357.2,67.2,52.3,358.3
